node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
N4929|B2,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,4.880002226697354e-05,0.0,0.0,0.0
N1|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,4.880002226697354e-05,0.0,0.0,4.880002226697353e-05,0.019661551290380695
N4930|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0001380897583429229,0.0,0.0,0.0
N2|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,0.0001380897583429229,0.0,0.0,0.0001380897583429229,0.019661551290380695
N4931|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,5.753739930955121e-05,0.0,0.0,0.0
N3|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,5.753739930955121e-05,0.0,0.0,5.75373993095512e-05,0.019661551290380695
N2411|B5,0.0,0.03529411764705882,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.002750287686996548,0.0,0.0,0.0
N4|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.0068120420702839565,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.005003076973114334,0.0006329113924050633,0.0,0.0,0.0006329113924050633,0.004524624773936978
N5|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,1.4384349827387803e-05,0.0,0.0,0.0
N5|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,1.4384349827387803e-05,0.0,0.0,1.43843498273878e-05,0.019661551290380695
N6|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0017029913428078251,0.0,0.0,0.0
N6|B1,0.018518518518518517,0.011764705882352941,0.001589825119236884,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.00510204081632653,0.001589825119236884,0.011902737285390347,0.020012307892457355,0.0017029913428078251,0.00011507479861910242,0.001589825119236884,0.001702991342807825,0.019661551290380695
N4932|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00015128132911392407,0.0,0.0,0.0
N7|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,0.00015128132911392407,0.0,0.0,0.00015128132911392404,0.019661551290380695
N4933|B6,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00020713463751438437,0.0,0.0,0.0
