source,target,amount_tx_idr,trx,type
N71 (B4),N71 (B1),2500000000.0,2,INCOMING
N4994 (B3),N72 (B1),1561378271.0,1,INCOMING
N72 (B4),N72 (B1),12400000000.0,6,INCOMING
N72 (B3),N72 (B1),2675000000.0,2,INCOMING
N72 (B3),N72 (B1),2675000000.0,2,INCOMING
N4995 (B3),N73 (B1),795000000.0,2,INCOMING
N4996 (B5),N74 (B1),280000000.0,1,INCOMING
N4997 (B3),N75 (B1),4200000000.0,2,INCOMING
N75 (B4),N75 (B1),6000000000.0,1,INCOMING
N4997 (B4),N75 (B1),500000000.0,1,INCOMING
N4998 (B3),N75 (B1),719500000.0,1,INCOMING
N4999 (B3),N76 (B1),16000000000.0,4,INCOMING
N76 (B14),N76 (B1),15600000000.0,6,INCOMING
N4999 (B17),N76 (B1),21700000000.0,6,INCOMING
N5000 (B25),N76 (B1),131400000.0,1,INCOMING
N5001 (B7),N76 (B1),1630010930.0,8,INCOMING
N76 (B5),N76 (B1),11300000000.0,4,INCOMING
N5002 (B3),N76 (B1),3000000000.0,1,INCOMING
N1201 (B14),N76 (B1),1469605000.0,10,INCOMING
N5003 (B7),N76 (B1),1189394970.0,1,INCOMING
N76 (B4),N76 (B1),18000000000.0,2,INCOMING
N4999 (B17),N76 (B1),21700000000.0,6,INCOMING
N5004 (B3),N76 (B1),1932661890.0,1,INCOMING
N5005 (B26),N77 (B1),200500000.0,1,INCOMING
N5006 (B26),N77 (B1),735555000.0,1,INCOMING
N78 (B4),N78 (B1),2000000000.0,1,INCOMING
N5007 (B8),N79 (B1),10797000000.0,2,INCOMING
N5008 (B14),N80 (B1),334082803.0,1,INCOMING
N5009 (B3),N81 (B1),21935657599.0,1,INCOMING
N5010 (B3),N82 (B1),6000000000.0,1,INCOMING
N5011 (B24),N83 (B1),793147247.0,1,INCOMING
N84 (B4),N84 (B1),4100000000.0,1,INCOMING
N84 (B17),N84 (B1),450000000.0,1,INCOMING
N84 (B27),N84 (B1),1600000000.0,1,INCOMING
N84 (B28),N84 (B1),5950000000.0,1,INCOMING
N84 (B3),N84 (B1),1950000000.0,1,INCOMING
N85 (B4),N85 (B1),5000000000.0,1,INCOMING
N5012 (B9),N86 (B1),883483310.0,1,INCOMING
N5013 (B16),N86 (B1),114542725.0,1,INCOMING
N5014 (B7),N87 (B1),1450000000.0,2,INCOMING
N88 (B4),N88 (B1),150000000.0,1,INCOMING
N5015 (B4),N89 (B1),600000000.0,1,INCOMING
N89 (B4),N89 (B1),950000000.0,1,INCOMING
N5016 (B4),N89 (B1),600000000.0,1,INCOMING
N90 (B9),N90 (B1),5000000000.0,1,INCOMING
N91 (B4),N91 (B1),750000000.0,2,INCOMING
N5017 (B29),N92 (B1),2544763597.0,1,INCOMING
N5017 (B10),N92 (B1),1839143739.0,1,INCOMING
N93 (B30),N93 (B1),7850000000.0,1,INCOMING
N5018 (B4),N94 (B1),160875000.0,1,INCOMING
N5019 (B15),N95 (B1),875000000.0,2,INCOMING
N5020 (B15),N95 (B1),450000000.0,1,INCOMING
N5021 (B4),N96 (B1),1150000000.0,1,INCOMING
N97 (B3),N97 (B1),800000000.0,3,INCOMING
N97 (B31),N97 (B1),3000000000.0,1,INCOMING
N5022 (B4),N98 (B1),1979758867.0,2,INCOMING
N5023 (B4),N99 (B1),3128800000.0,1,INCOMING
N100 (B10),N100 (B1),3700000000.0,2,INCOMING
N101 (B32),N101 (B1),3000000000.0,2,INCOMING
N5024 (B4),N102 (B1),1216780730.0,1,INCOMING
N5025 (B4),N103 (B1),2585126969.0,5,INCOMING
N103 (B5),N103 (B1),6715355677.0,10,INCOMING
N2451 (B3),N104 (B1),691830000.0,2,INCOMING
N5026 (B3),N104 (B1),120660562.0,1,INCOMING
N4860 (B18),N104 (B1),518973610.0,1,INCOMING
N5027 (B4),N105 (B1),1000000000.0,1,INCOMING
N5028 (B30),N105 (B1),1000000000.0,1,INCOMING
N106 (B17),N106 (B1),400000000.0,1,INCOMING
N107 (B6),N107 (B1),350000000.0,1,INCOMING
N5029 (B4),N107 (B1),778000000.0,3,INCOMING
N5030 (B4),N108 (B1),2000000000.0,1,INCOMING
N5031 (B11),N109 (B1),434090800.0,1,INCOMING
N2619 (B22),N110 (B1),1491348705.0,1,INCOMING
N5032 (B10),N109 (B1),166768250.0,1,INCOMING
N5033 (B14),N110 (B1),582419849.0,1,INCOMING
N111 (B4),N111 (B1),400000000.0,1,INCOMING
N5034 (B3),N112 (B1),10000000000.0,1,INCOMING
N31 (B20),N113 (B1),2340000000.0,1,INCOMING
