entity,in_degree,out_degree,total_degree
N6541 (B3),0.0,1.0,1.0
N6542 (B3),0.0,1.0,1.0
N6543 (B3),0.0,1.0,1.0
N1865 (B15),0.0,1.0,1.0
N1866 (B17),0.0,1.0,1.0
N1866 (B5),0.0,1.0,1.0
N6544 (B3),0.0,1.0,1.0
N6545 (B4),0.0,1.0,1.0
N1867 (B11),0.0,1.0,1.0
N1868 (B4),0.0,1.0,1.0
N6546 (B30),0.0,1.0,1.0
N6547 (B24),0.0,1.0,1.0
N5634 (B4),0.0,1.0,1.0
N6548 (B43),0.0,1.0,1.0
N6549 (B4),0.0,1.0,1.0
N6550 (B4),0.0,1.0,1.0
N1874 (B5),0.0,1.0,1.0
N1875 (B3),0.0,1.0,1.0
N1876 (B4),0.0,1.0,1.0
N6551 (B12),0.0,1.0,1.0
N6552 (B12),0.0,1.0,1.0
N6553 (B4),0.0,1.0,1.0
N6554 (B12),0.0,1.0,1.0
N6555 (B4),0.0,1.0,1.0
N6556 (B44),0.0,1.0,1.0
N6557 (B12),0.0,1.0,1.0
N1878 (B4),0.0,1.0,1.0
N6558 (B42),0.0,1.0,1.0
N6559 (B42),0.0,1.0,1.0
N1880 (B4),1.0,1.0,2.0
N6560 (B8),0.0,1.0,1.0
N6561 (B53),0.0,1.0,1.0
N1884 (B4),0.0,1.0,1.0
N1885 (B4),0.0,1.0,1.0
N6562 (B3),0.0,1.0,1.0
N6563 (B5),0.0,1.0,1.0
N6564 (B5),0.0,1.0,1.0
N6565 (B3),0.0,1.0,1.0
N1888 (B7),0.0,1.0,1.0
N1888 (B43),1.0,1.0,2.0
N6566 (B3),0.0,1.0,1.0
N6567 (B95),0.0,1.0,1.0
N6568 (B3),0.0,1.0,1.0
N6569 (B4),0.0,1.0,1.0
N6570 (B22),0.0,1.0,1.0
N6571 (B9),0.0,1.0,1.0
N6572 (B22),0.0,1.0,1.0
N6573 (B35),0.0,1.0,1.0
N1900 (B4),0.0,1.0,1.0
N6574 (B4),0.0,2.0,2.0
N6575 (B4),0.0,1.0,1.0
N6576 (B81),0.0,1.0,1.0
N6577 (B4),0.0,2.0,2.0
N1905 (B43),0.0,1.0,1.0
N6578 (B4),0.0,1.0,1.0
N2019 (B3),0.0,1.0,1.0
N1908 (B4),0.0,1.0,1.0
N3860 (B4),0.0,1.0,1.0
N6579 (B17),0.0,1.0,1.0
N6580 (B96),0.0,1.0,1.0
N6581 (B3),0.0,1.0,1.0
N1913 (B4),0.0,1.0,1.0
N1914 (B4),0.0,1.0,1.0
N6582 (B17),0.0,1.0,1.0
N4476 (B3),4.0,2.0,6.0
N1917 (B5),0.0,1.0,1.0
N6583 (B3),0.0,2.0,2.0
N1919 (B4),0.0,1.0,1.0
N1920 (B4),0.0,1.0,1.0
N6584 (B11),0.0,1.0,1.0
N6585 (B4),0.0,1.0,1.0
N6586 (B5),0.0,1.0,1.0
N1924 (B4),0.0,1.0,1.0
N6587 (B4),0.0,1.0,1.0
N6588 (B4),0.0,1.0,1.0
N6589 (B11),0.0,1.0,1.0
N1928 (B3),0.0,1.0,1.0
N1929 (B5),0.0,1.0,1.0
N1930 (B4),0.0,1.0,1.0
N1931 (B4),0.0,1.0,1.0
N1931 (B18),2.0,1.0,3.0
N6590 (B12),0.0,1.0,1.0
N6591 (B11),2.0,1.0,3.0
N6592 (B48),0.0,1.0,1.0
N6593 (B17),0.0,1.0,1.0
N6594 (B48),0.0,1.0,1.0
N6595 (B3),0.0,1.0,1.0
N6596 (B14),0.0,1.0,1.0
N6597 (B3),0.0,1.0,1.0
N6598 (B7),0.0,2.0,2.0
N6599 (B30),0.0,1.0,1.0
N6600 (B3),0.0,1.0,1.0
N6601 (B22),0.0,1.0,1.0
N6602 (B11),0.0,1.0,1.0
N6603 (B30),0.0,1.0,1.0
N6604 (B97),0.0,1.0,1.0
N6605 (B3),0.0,1.0,1.0
N6606 (B4),0.0,1.0,1.0
N6607 (B3),0.0,2.0,2.0
N6608 (B3),0.0,1.0,1.0
N6609 (B3),0.0,1.0,1.0
N6610 (B4),0.0,1.0,1.0
N6611 (B16),0.0,1.0,1.0
N6612 (B4),0.0,1.0,1.0
N6613 (B7),0.0,1.0,1.0
N6614 (B10),0.0,1.0,1.0
N1935 (B16),0.0,1.0,1.0
N6615 (B3),0.0,1.0,1.0
N6616 (B4),0.0,1.0,1.0
N6617 (B4),0.0,1.0,1.0
N6618 (B5),0.0,1.0,1.0
N6619 (B17),0.0,1.0,1.0
N6620 (B4),0.0,1.0,1.0
N6621 (B5),0.0,1.0,1.0
N6622 (B3),0.0,1.0,1.0
N6623 (B3),0.0,3.0,3.0
N1945 (B10),0.0,1.0,1.0
N1945 (B22),0.0,1.0,1.0
N1946 (B3),0.0,1.0,1.0
N1946 (B11),0.0,1.0,1.0
N1946 (B4),0.0,1.0,1.0
N1947 (B4),0.0,1.0,1.0
N1947 (B25),1.0,1.0,2.0
N6624 (B17),0.0,1.0,1.0
N1950 (B3),0.0,1.0,1.0
N1951 (B17),0.0,1.0,1.0
N6625 (B3),0.0,1.0,1.0
N1953 (B4),0.0,5.0,5.0
N1954 (B72),0.0,2.0,2.0
N6626 (B43),0.0,1.0,1.0
N6626 (B11),0.0,1.0,1.0
N6627 (B4),0.0,1.0,1.0
N5308 (B29),0.0,1.0,1.0
N1959 (B4),3.0,1.0,4.0
N1960 (B10),1.0,1.0,2.0
N1962 (B15),0.0,1.0,1.0
N1963 (B4),0.0,1.0,1.0
N6628 (B5),0.0,1.0,1.0
N1965 (B4),0.0,1.0,1.0
N6629 (B11),0.0,1.0,1.0
N1967 (B51),0.0,1.0,1.0
N1968 (B4),0.0,1.0,1.0
N6630 (B7),0.0,1.0,1.0
N1970 (B14),0.0,1.0,1.0
N6631 (B5),0.0,1.0,1.0
N6631 (B3),0.0,1.0,1.0
N6632 (B3),0.0,1.0,1.0
N6633 (B4),0.0,1.0,1.0
N6634 (B17),0.0,1.0,1.0
N1974 (B13),0.0,1.0,1.0
N6635 (B22),0.0,1.0,1.0
N6636 (B10),0.0,1.0,1.0
N1976 (B3),0.0,1.0,1.0
N6637 (B7),0.0,1.0,1.0
N6638 (B18),0.0,1.0,1.0
N6639 (B3),0.0,1.0,1.0
N6640 (B3),0.0,1.0,1.0
N1980 (B17),0.0,1.0,1.0
N3112 (B4),0.0,1.0,1.0
N1982 (B11),1.0,1.0,2.0
N6641 (B41),0.0,1.0,1.0
N6642 (B4),0.0,1.0,1.0
N6643 (B4),0.0,1.0,1.0
N1783 (B11),0.0,1.0,1.0
N1987 (B14),1.0,1.0,2.0
N1987 (B3),0.0,1.0,1.0
N1988 (B10),0.0,1.0,1.0
N1989 (B7),0.0,1.0,1.0
N1990 (B16),0.0,1.0,1.0
N1991 (B30),0.0,1.0,1.0
N1992 (B4),0.0,1.0,1.0
N6644 (B10),0.0,2.0,2.0
N1994 (B30),0.0,1.0,1.0
N6645 (B3),0.0,1.0,1.0
N6646 (B3),0.0,1.0,1.0
N6647 (B30),0.0,1.0,1.0
N6647 (B3),0.0,1.0,1.0
N6648 (B15),0.0,1.0,1.0
N1998 (B17),0.0,2.0,2.0
N6649 (B17),0.0,1.0,1.0
N6650 (B14),0.0,2.0,2.0
N6651 (B10),0.0,1.0,1.0
N268 (B18),0.0,1.0,1.0
N2000 (B14),0.0,1.0,1.0
N1122 (B3),0.0,1.0,1.0
N6652 (B4),2.0,4.0,6.0
N6653 (B5),0.0,1.0,1.0
N6654 (B3),0.0,1.0,1.0
N2005 (B4),0.0,1.0,1.0
N4477 (B3),1.0,1.0,2.0
N6655 (B62),0.0,1.0,1.0
N2007 (B3),1.0,1.0,2.0
N6656 (B17),0.0,1.0,1.0
N2007 (B4),0.0,1.0,1.0
N2008 (B25),0.0,1.0,1.0
N2008 (B4),0.0,1.0,1.0
N6657 (B3),0.0,1.0,1.0
N6658 (B3),0.0,3.0,3.0
N6659 (B3),0.0,3.0,3.0
N6659 (B17),0.0,3.0,3.0
N4538 (B11),0.0,3.0,3.0
N5946 (B11),0.0,1.0,1.0
N6660 (B4),0.0,1.0,1.0
N2013 (B46),0.0,1.0,1.0
N2014 (B3),1.0,1.0,2.0
N6661 (B4),0.0,1.0,1.0
N2015 (B15),0.0,1.0,1.0
N6662 (B4),0.0,1.0,1.0
N6663 (B3),0.0,1.0,1.0
N6664 (B5),0.0,1.0,1.0
N6665 (B10),0.0,1.0,1.0
N2020 (B18),0.0,1.0,1.0
N6666 (B21),0.0,1.0,1.0
N6667 (B12),0.0,1.0,1.0
N6668 (B20),0.0,1.0,1.0
N6669 (B12),0.0,1.0,1.0
N6670 (B6),0.0,1.0,1.0
N6671 (B21),0.0,2.0,2.0
N6672 (B3),0.0,1.0,1.0
N2021 (B20),0.0,1.0,1.0
N6673 (B13),0.0,1.0,1.0
N6674 (B4),0.0,1.0,1.0
N2023 (B43),1.0,1.0,2.0
N870 (B14),0.0,1.0,1.0
N2024 (B4),0.0,1.0,1.0
N6675 (B3),0.0,1.0,1.0
N6676 (B3),0.0,1.0,1.0
N6677 (B4),0.0,1.0,1.0
N6678 (B3),1.0,1.0,2.0
N6679 (B4),0.0,1.0,1.0
N6680 (B3),0.0,1.0,1.0
N6681 (B4),0.0,1.0,1.0
N6682 (B4),0.0,2.0,2.0
N2038 (B4),0.0,1.0,1.0
N6683 (B21),0.0,1.0,1.0
N6684 (B5),0.0,1.0,1.0
N6685 (B4),0.0,1.0,1.0
N2041 (B5),0.0,1.0,1.0
N6686 (B8),0.0,1.0,1.0
N6687 (B3),0.0,1.0,1.0
N2044 (B3),0.0,1.0,1.0
N6688 (B3),0.0,1.0,1.0
N4549 (B4),1.0,1.0,2.0
N6689 (B7),0.0,1.0,1.0
N2048 (B13),0.0,1.0,1.0
N6690 (B9),0.0,1.0,1.0
N6691 (B7),0.0,2.0,2.0
N6692 (B7),0.0,1.0,1.0
N2052 (B46),0.0,1.0,1.0
N6693 (B4),0.0,1.0,1.0
N2054 (B4),0.0,1.0,1.0
N2055 (B43),0.0,1.0,1.0
N6694 (B14),0.0,1.0,1.0
N6695 (B7),0.0,1.0,1.0
N6674 (B3),0.0,1.0,1.0
N6696 (B7),0.0,1.0,1.0
N6697 (B30),0.0,1.0,1.0
N6698 (B11),0.0,1.0,1.0
N2059 (B4),0.0,1.0,1.0
N6699 (B3),0.0,1.0,1.0
N6700 (B4),0.0,1.0,1.0
N6701 (B3),0.0,1.0,1.0
N2062 (B17),0.0,1.0,1.0
N6702 (B4),0.0,1.0,1.0
N6703 (B3),0.0,1.0,1.0
N6704 (B4),1.0,1.0,2.0
N6705 (B4),0.0,1.0,1.0
N2066 (B4),0.0,1.0,1.0
N6706 (B3),0.0,1.0,1.0
N2070 (B3),0.0,1.0,1.0
N2070 (B5),0.0,1.0,1.0
N2070 (B4),0.0,1.0,1.0
N6707 (B17),0.0,1.0,1.0
N6708 (B9),0.0,2.0,2.0
N6709 (B3),0.0,1.0,1.0
N6710 (B9),0.0,1.0,1.0
N6711 (B3),0.0,1.0,1.0
N2074 (B14),0.0,1.0,1.0
N2075 (B3),2.0,1.0,3.0
N6712 (B4),0.0,1.0,1.0
N6713 (B5),0.0,1.0,1.0
N6713 (B3),0.0,1.0,1.0
N2075 (B17),0.0,1.0,1.0
N2075 (B5),0.0,1.0,1.0
N2075 (B4),2.0,1.0,3.0
N2076 (B10),0.0,1.0,1.0
N2077 (B5),0.0,1.0,1.0
N2078 (B30),0.0,1.0,1.0
N2079 (B4),1.0,1.0,2.0
N6714 (B3),0.0,1.0,1.0
N2080 (B5),0.0,1.0,1.0
N6715 (B3),0.0,1.0,1.0
N6716 (B3),0.0,2.0,2.0
N6717 (B14),0.0,1.0,1.0
N6718 (B3),0.0,1.0,1.0
N6719 (B14),0.0,1.0,1.0
N6720 (B3),0.0,1.0,1.0
N6721 (B43),0.0,1.0,1.0
N2086 (B43),0.0,1.0,1.0
N2087 (B4),0.0,1.0,1.0
N2088 (B10),1.0,1.0,2.0
N2089 (B76),1.0,1.0,2.0
N2090 (B11),0.0,1.0,1.0
N6722 (B3),0.0,1.0,1.0
N2090 (B4),0.0,1.0,1.0
N6723 (B17),0.0,1.0,1.0
N2091 (B17),0.0,1.0,1.0
N6724 (B4),0.0,1.0,1.0
N2093 (B11),0.0,1.0,1.0
N6725 (B8),0.0,1.0,1.0
N2095 (B4),3.0,1.0,4.0
N2095 (B5),0.0,1.0,1.0
N6726 (B4),0.0,1.0,1.0
N6727 (B11),0.0,1.0,1.0
N2099 (B17),0.0,2.0,2.0
N2099 (B4),0.0,1.0,1.0
N6728 (B11),0.0,1.0,1.0
N2100 (B22),0.0,1.0,1.0
N2101 (B30),0.0,1.0,1.0
N6729 (B3),0.0,1.0,1.0
N378 (B76),0.0,2.0,2.0
N6730 (B4),0.0,2.0,2.0
N6731 (B11),0.0,2.0,2.0
N6732 (B13),0.0,2.0,2.0
N6730 (B30),0.0,2.0,2.0
N6733 (B43),0.0,2.0,2.0
N6734 (B4),0.0,2.0,2.0
N6735 (B4),0.0,2.0,2.0
N6732 (B4),0.0,4.0,4.0
N6736 (B14),0.0,2.0,2.0
N6737 (B7),0.0,2.0,2.0
N6738 (B30),0.0,2.0,2.0
N6739 (B3),0.0,2.0,2.0
N6740 (B7),0.0,2.0,2.0
N2103 (B4),0.0,1.0,1.0
N6741 (B4),0.0,1.0,1.0
N6742 (B24),0.0,1.0,1.0
N2106 (B4),1.0,1.0,2.0
N6743 (B82),0.0,1.0,1.0
N6744 (B4),0.0,1.0,1.0
N6745 (B4),0.0,1.0,1.0
N1316 (B5),0.0,1.0,1.0
N6746 (B22),0.0,1.0,1.0
N6747 (B17),0.0,1.0,1.0
N6748 (B3),0.0,1.0,1.0
N2111 (B30),1.0,1.0,2.0
N6749 (B4),0.0,3.0,3.0
N2112 (B30),0.0,1.0,1.0
N6750 (B11),0.0,1.0,1.0
N2113 (B5),0.0,1.0,1.0
N2113 (B4),0.0,1.0,1.0
N6751 (B3),0.0,1.0,1.0
N2116 (B3),1.0,1.0,2.0
N2116 (B17),0.0,1.0,1.0
N2116 (B5),0.0,1.0,1.0
N2117 (B8),0.0,1.0,1.0
N2118 (B4),0.0,1.0,1.0
N6752 (B12),0.0,1.0,1.0
N6753 (B20),0.0,1.0,1.0
N6754 (B4),0.0,1.0,1.0
N2119 (B20),0.0,1.0,1.0
N2119 (B4),1.0,1.0,2.0
N6755 (B4),0.0,1.0,1.0
N6756 (B3),0.0,1.0,1.0
N6757 (B41),0.0,1.0,1.0
N6758 (B41),0.0,1.0,1.0
N6759 (B17),0.0,1.0,1.0
N6760 (B96),0.0,1.0,1.0
N6761 (B14),0.0,1.0,1.0
N6762 (B4),0.0,1.0,1.0
N6763 (B4),0.0,1.0,1.0
N2126 (B5),0.0,1.0,1.0
N2127 (B4),0.0,1.0,1.0
N2127 (B11),0.0,1.0,1.0
N2128 (B38),0.0,1.0,1.0
N6764 (B4),0.0,1.0,1.0
N6765 (B7),0.0,1.0,1.0
N4746 (B52),0.0,1.0,1.0
N2131 (B21),0.0,1.0,1.0
N6766 (B21),0.0,1.0,1.0
N6767 (B21),0.0,1.0,1.0
N2132 (B5),0.0,1.0,1.0
N6768 (B39),0.0,1.0,1.0
N2133 (B20),0.0,1.0,1.0
N6769 (B4),0.0,1.0,1.0
N2135 (B3),3.0,2.0,5.0
N2135 (B5),0.0,1.0,1.0
N6770 (B3),0.0,1.0,1.0
N2137 (B4),1.0,1.0,2.0
N6771 (B3),0.0,1.0,1.0
N2139 (B46),0.0,1.0,1.0
N6772 (B4),0.0,1.0,1.0
N6773 (B4),0.0,1.0,1.0
N6774 (B3),1.0,2.0,3.0
N2144 (B4),1.0,1.0,2.0
N2145 (B3),0.0,1.0,1.0
N6775 (B30),0.0,1.0,1.0
N6776 (B4),0.0,1.0,1.0
N2149 (B52),0.0,1.0,1.0
N6777 (B30),0.0,2.0,2.0
N1754 (B4),0.0,1.0,1.0
N6778 (B8),0.0,1.0,1.0
N2154 (B30),0.0,1.0,1.0
N2155 (B3),0.0,1.0,1.0
N2156 (B11),0.0,1.0,1.0
N2157 (B14),1.0,1.0,2.0
N2157 (B3),0.0,1.0,1.0
N6779 (B24),0.0,1.0,1.0
N6780 (B3),1.0,1.0,2.0
N2161 (B4),0.0,1.0,1.0
N2162 (B4),1.0,1.0,2.0
N2163 (B4),0.0,1.0,1.0
N6781 (B4),1.0,1.0,2.0
N6782 (B4),0.0,2.0,2.0
N6783 (B4),0.0,1.0,1.0
N6784 (B27),0.0,1.0,1.0
N6785 (B3),0.0,1.0,1.0
N6786 (B4),0.0,1.0,1.0
N2168 (B4),0.0,1.0,1.0
N6787 (B4),0.0,1.0,1.0
N6788 (B4),0.0,1.0,1.0
N2170 (B4),1.0,1.0,2.0
N2170 (B30),0.0,1.0,1.0
N6789 (B17),0.0,1.0,1.0
N6790 (B3),0.0,1.0,1.0
N6791 (B41),0.0,1.0,1.0
N2173 (B4),0.0,1.0,1.0
N2175 (B3),0.0,1.0,1.0
N6792 (B14),0.0,1.0,1.0
N6793 (B7),0.0,1.0,1.0
N2178 (B3),0.0,1.0,1.0
N6794 (B4),0.0,1.0,1.0
N6795 (B4),0.0,1.0,1.0
N2180 (B4),0.0,1.0,1.0
N6796 (B4),0.0,1.0,1.0
N6797 (B17),0.0,1.0,1.0
N6798 (B4),0.0,1.0,1.0
N2184 (B18),1.0,1.0,2.0
N6799 (B26),0.0,1.0,1.0
N6800 (B21),0.0,1.0,1.0
N2188 (B5),0.0,1.0,1.0
N2189 (B3),0.0,1.0,1.0
N6801 (B4),0.0,2.0,2.0
N2191 (B3),0.0,1.0,1.0
N6802 (B18),0.0,1.0,1.0
N2193 (B3),0.0,1.0,1.0
N6803 (B3),0.0,1.0,1.0
N6804 (B5),0.0,1.0,1.0
N2196 (B31),0.0,1.0,1.0
N6805 (B4),1.0,1.0,2.0
N6806 (B17),0.0,1.0,1.0
N6807 (B4),0.0,1.0,1.0
N6808 (B3),0.0,1.0,1.0
N6809 (B3),0.0,1.0,1.0
N6810 (B12),0.0,1.0,1.0
N6811 (B4),0.0,1.0,1.0
N6812 (B14),0.0,1.0,1.0
N2205 (B4),0.0,1.0,1.0
N2206 (B66),0.0,1.0,1.0
N2206 (B93),0.0,1.0,1.0
N6813 (B43),0.0,1.0,1.0
N6814 (B43),0.0,1.0,1.0
N6815 (B30),0.0,1.0,1.0
N6816 (B3),0.0,1.0,1.0
N2209 (B25),0.0,1.0,1.0
N2211 (B4),0.0,1.0,1.0
N6817 (B28),0.0,1.0,1.0
N6818 (B5),0.0,1.0,1.0
N2215 (B4),0.0,1.0,1.0
N32 (B62),0.0,1.0,1.0
N2216 (B80),0.0,1.0,1.0
N2217 (B11),0.0,1.0,1.0
N6819 (B30),0.0,1.0,1.0
N2219 (B4),0.0,1.0,1.0
N6820 (B11),0.0,1.0,1.0
N2221 (B4),0.0,1.0,1.0
N6821 (B7),0.0,1.0,1.0
N2223 (B4),0.0,1.0,1.0
N2045 (B14),1.0,1.0,2.0
N6822 (B3),0.0,2.0,2.0
N6823 (B25),0.0,1.0,1.0
N6824 (B16),1.0,1.0,2.0
N6825 (B4),0.0,1.0,1.0
N2226 (B4),0.0,1.0,1.0
N2226 (B3),0.0,1.0,1.0
N2227 (B22),0.0,1.0,1.0
N2228 (B47),0.0,1.0,1.0
N1675 (B4),0.0,1.0,1.0
N2230 (B3),1.0,1.0,2.0
N6826 (B17),0.0,1.0,1.0
N4545 (B3),0.0,1.0,1.0
N2232 (B51),0.0,1.0,1.0
N6827 (B3),0.0,1.0,1.0
N6828 (B4),0.0,2.0,2.0
N6829 (B13),0.0,1.0,1.0
N6830 (B4),0.0,1.0,1.0
N2239 (B4),0.0,1.0,1.0
N6831 (B4),0.0,2.0,2.0
N6832 (B17),0.0,1.0,1.0
N2241 (B4),0.0,1.0,1.0
N6833 (B54),0.0,1.0,1.0
N6834 (B4),0.0,1.0,1.0
N6835 (B11),0.0,1.0,1.0
N6836 (B4),0.0,1.0,1.0
N2242 (B4),0.0,1.0,1.0
N2244 (B41),0.0,1.0,1.0
N6837 (B4),0.0,1.0,1.0
N6838 (B4),0.0,1.0,1.0
N6839 (B3),0.0,1.0,1.0
N6840 (B4),0.0,2.0,2.0
N6841 (B4),0.0,1.0,1.0
N6842 (B4),0.0,1.0,1.0
N6843 (B11),0.0,1.0,1.0
N6844 (B4),0.0,1.0,1.0
N6845 (B4),0.0,1.0,1.0
N6846 (B11),0.0,1.0,1.0
N6847 (B4),0.0,1.0,1.0
N6848 (B4),0.0,1.0,1.0
N6849 (B3),0.0,1.0,1.0
N2258 (B4),0.0,1.0,1.0
N6850 (B4),0.0,1.0,1.0
N6851 (B3),0.0,1.0,1.0
N6852 (B4),0.0,1.0,1.0
N6853 (B4),0.0,1.0,1.0
N6854 (B73),0.0,1.0,1.0
N6855 (B14),0.0,1.0,1.0
N6856 (B63),0.0,1.0,1.0
N2260 (B4),0.0,1.0,1.0
N6857 (B3),0.0,1.0,1.0
N6858 (B3),0.0,1.0,1.0
N2261 (B3),2.0,2.0,4.0
N2261 (B11),1.0,1.0,2.0
N6859 (B19),0.0,1.0,1.0
N6860 (B4),0.0,1.0,1.0
N6861 (B5),0.0,1.0,1.0
N2264 (B16),0.0,1.0,1.0
N6862 (B9),0.0,1.0,1.0
N6863 (B13),0.0,1.0,1.0
N6864 (B4),0.0,1.0,1.0
N6865 (B4),0.0,1.0,1.0
N2267 (B4),0.0,1.0,1.0
N2268 (B14),0.0,1.0,1.0
N6866 (B3),0.0,1.0,1.0
N4040 (B13),1.0,1.0,2.0
N2271 (B98),0.0,2.0,2.0
N2272 (B5),0.0,1.0,1.0
N2273 (B3),0.0,1.0,1.0
N6867 (B4),0.0,1.0,1.0
N2275 (B4),0.0,1.0,1.0
N2277 (B4),0.0,1.0,1.0
N2278 (B4),0.0,1.0,1.0
N2279 (B4),0.0,1.0,1.0
N6868 (B4),0.0,1.0,1.0
N6869 (B17),0.0,1.0,1.0
N6870 (B10),0.0,1.0,1.0
N2283 (B3),0.0,1.0,1.0
N6871 (B4),0.0,1.0,1.0
N6872 (B17),0.0,1.0,1.0
N2286 (B9),0.0,1.0,1.0
N6873 (B70),0.0,1.0,1.0
N2290 (B4),2.0,1.0,3.0
N2290 (B59),1.0,1.0,2.0
N6874 (B20),0.0,1.0,1.0
N2290 (B7),0.0,1.0,1.0
N2290 (B28),0.0,1.0,1.0
N2291 (B30),1.0,1.0,2.0
N2538 (B14),0.0,1.0,1.0
N6875 (B4),0.0,1.0,1.0
N6876 (B4),0.0,1.0,1.0
N6877 (B4),0.0,1.0,1.0
N2295 (B7),0.0,1.0,1.0
N2296 (B30),0.0,1.0,1.0
N2297 (B11),0.0,1.0,1.0
N6878 (B4),0.0,1.0,1.0
N6879 (B11),0.0,1.0,1.0
N2298 (B11),0.0,1.0,1.0
N6880 (B7),0.0,1.0,1.0
N6881 (B9),0.0,1.0,1.0
N6882 (B33),0.0,1.0,1.0
N6883 (B4),0.0,1.0,1.0
N6884 (B85),0.0,1.0,1.0
N6885 (B3),0.0,1.0,1.0
N2304 (B54),1.0,1.0,2.0
N6886 (B18),0.0,1.0,1.0
N6887 (B18),0.0,2.0,2.0
N6888 (B4),0.0,1.0,1.0
N2306 (B22),0.0,1.0,1.0
N6889 (B11),0.0,1.0,1.0
N6890 (B17),0.0,1.0,1.0
N2309 (B4),0.0,1.0,1.0
N6891 (B3),0.0,1.0,1.0
N2310 (B4),0.0,1.0,1.0
N6892 (B8),0.0,1.0,1.0
N6893 (B4),0.0,1.0,1.0
N2312 (B7),1.0,1.0,2.0
N2312 (B4),0.0,1.0,1.0
N6894 (B99),0.0,1.0,1.0
N2314 (B3),0.0,1.0,1.0
N2315 (B4),0.0,1.0,1.0
N2315 (B17),0.0,2.0,2.0
N2315 (B5),0.0,1.0,1.0
N6895 (B3),0.0,1.0,1.0
N2315 (B3),0.0,1.0,1.0
N2317 (B45),0.0,1.0,1.0
N2318 (B4),0.0,1.0,1.0
N2319 (B4),0.0,2.0,2.0
N2320 (B4),0.0,1.0,1.0
N6896 (B17),0.0,1.0,1.0
N6897 (B4),0.0,1.0,1.0
N6898 (B4),0.0,1.0,1.0
N2323 (B3),0.0,1.0,1.0
N6899 (B20),0.0,1.0,1.0
N2326 (B9),0.0,1.0,1.0
N2327 (B4),0.0,1.0,1.0
N6900 (B25),0.0,1.0,1.0
N2329 (B4),0.0,1.0,1.0
N6901 (B30),2.0,1.0,3.0
N6902 (B3),0.0,1.0,1.0
N6903 (B3),0.0,1.0,1.0
N6904 (B3),0.0,2.0,2.0
N6905 (B4),0.0,1.0,1.0
N6906 (B4),0.0,1.0,1.0
N6907 (B3),0.0,1.0,1.0
N6908 (B20),0.0,1.0,1.0
N2336 (B76),0.0,1.0,1.0
N2336 (B4),0.0,1.0,1.0
N2336 (B71),0.0,1.0,1.0
N2337 (B4),0.0,1.0,1.0
N6909 (B5),0.0,2.0,2.0
N6910 (B13),0.0,1.0,1.0
N6911 (B17),0.0,1.0,1.0
N2342 (B11),0.0,1.0,1.0
N6912 (B37),0.0,1.0,1.0
N2346 (B11),0.0,1.0,1.0
N6913 (B4),0.0,1.0,1.0
N6914 (B51),0.0,1.0,1.0
N2348 (B25),0.0,1.0,1.0
N6915 (B22),0.0,1.0,1.0
N2350 (B20),0.0,1.0,1.0
N6916 (B28),0.0,1.0,1.0
N2352 (B4),0.0,1.0,1.0
N6917 (B5),0.0,1.0,1.0
N2354 (B30),0.0,1.0,1.0
N2355 (B3),0.0,1.0,1.0
N2355 (B17),0.0,1.0,1.0
N2356 (B8),0.0,1.0,1.0
N2356 (B4),0.0,1.0,1.0
N3708 (B4),0.0,1.0,1.0
N6918 (B17),0.0,1.0,1.0
N6919 (B3),0.0,1.0,1.0
N6920 (B33),0.0,1.0,1.0
N6921 (B3),0.0,1.0,1.0
N2360 (B7),0.0,1.0,1.0
N6922 (B3),0.0,1.0,1.0
N2362 (B4),0.0,1.0,1.0
N2363 (B18),1.0,1.0,2.0
N6923 (B18),0.0,1.0,1.0
N6924 (B7),0.0,1.0,1.0
N6925 (B17),0.0,1.0,1.0
N6926 (B4),0.0,1.0,1.0
N6927 (B4),0.0,1.0,1.0
N6928 (B4),0.0,1.0,1.0
N6929 (B5),0.0,1.0,1.0
N6930 (B12),0.0,2.0,2.0
N6931 (B11),1.0,1.0,2.0
N2367 (B4),0.0,1.0,1.0
N6932 (B4),0.0,1.0,1.0
N6933 (B17),0.0,1.0,1.0
N6934 (B4),0.0,1.0,1.0
N6935 (B17),0.0,1.0,1.0
N2369 (B5),0.0,2.0,2.0
N2369 (B3),0.0,1.0,1.0
N6936 (B3),0.0,1.0,1.0
N2371 (B4),0.0,1.0,1.0
N6937 (B4),0.0,1.0,1.0
N6938 (B3),0.0,1.0,1.0
N2375 (B3),1.0,1.0,2.0
N2376 (B10),0.0,1.0,1.0
N2377 (B18),1.0,1.0,2.0
N6939 (B3),0.0,1.0,1.0
N6940 (B3),2.0,1.0,3.0
N6941 (B25),0.0,1.0,1.0
N6942 (B5),0.0,1.0,1.0
N6943 (B73),0.0,1.0,1.0
N6943 (B22),0.0,1.0,1.0
N2381 (B3),0.0,1.0,1.0
N2382 (B4),0.0,1.0,1.0
N2383 (B4),0.0,1.0,1.0
N6944 (B30),0.0,1.0,1.0
N6945 (B3),0.0,1.0,1.0
N6946 (B7),0.0,1.0,1.0
N2388 (B91),0.0,1.0,1.0
N2389 (B4),1.0,1.0,2.0
N2390 (B4),0.0,3.0,3.0
N6947 (B4),0.0,1.0,1.0
N6948 (B4),0.0,1.0,1.0
N6949 (B4),0.0,1.0,1.0
N2392 (B4),0.0,1.0,1.0
N6950 (B4),0.0,1.0,1.0
